  housing influence contact_with_neighbours satisfaction  n 
  1         1          1          1          1         21  
  2         1          1          1          2         21  
  3         1          1          1          3         28  
  4         1          1          2          1         14  
  5         1          1          2          2         19  
  6         1          1          2          3         37  
  7         1          2          1          1         34  
  8         1          2          1          2         22  
  9         1          2          1          3         36  
 10         1          2          2          1         17  
 11         1          2          2          2         23  
 12         1          2          2          3         40  
 13         1          3          1          1         10  
 14         1          3          1          2         11  
 15         1          3          1          3         36  
 16         1          3          2          1          3  
 17         1          3          2          2          5  
 18         1          3          2          3         23  
 19         2          1          1          1         61  
 20         2          1          1          2         23  
 21         2          1          1          3         17  
 22         2          1          2          1         78  
 23         2          1          2          2         46  
 24         2          1          2          3         43  
 25         2          2          1          1         43  
 26         2          2          1          2         35  
 27         2          2          1          3         40  
 28         2          2          2          1         48  
 29         2          2          2          2         45  
 30         2          2          2          3         86  
 31         2          3          1          1         26  
 32         2          3          1          2         18  
 33         2          3          1          3         54  
 34         2          3          2          1         15  
 35         2          3          2          2         25  
 36         2          3          2          3         62  
 37         3          1          1          1         13  
 38         3          1          1          2          9  
 39         3          1          1          3         10  
 40         3          1          2          1         20  
 41         3          1          2          2         23  
 42         3          1          2          3         20  
 43         3          2          1          1          8  
 44         3          2          1          2          8  
 45         3          2          1          3         12  
 46         3          2          2          1         10  
 47         3          2          2          2         22  
 48         3          2          2          3         24  
 49         3          3          1          1          6  
 50         3          3          1          2          7  
 51         3          3          1          3          9  
 52         3          3          2          1          7  
 53         3          3          2          2         10  
 54         3          3          2          3         21  
 55         4          1          1          1         18  
 56         4          1          1          2          6  
 57         4          1          1          3          7  
 58         4          1          2          1         57  
 59         4          1          2          2         23  
 60         4          1          2          3         13  
 61         4          2          1          1         15  
 62         4          2          1          2         13  
 63         4          2          1          3         13  
 64         4          2          2          1         31  
 65         4          2          2          2         21  
 66         4          2          2          3         13  
 67         4          3          1          1          7  
 68         4          3          1          2          5  
 69         4          3          1          3         11  
 70         4          3          2          1          5  
 71         4          3          2          2          6  
 72         4          3          2          3         13  
